MembershipTypeName_Financial,PurchaseDate1,Textbox2,NetPricePaid,AvgNetPricePaid,PromotionCodeCount,Textbox3,Textbox42,Textbox43,Textbox44,Textbox4,Textbox37,Textbox38,Textbox39
Annual Membership,2019-01-01,3,198.00,66.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-03,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-04,2,99.00,49.50,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-07,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-08,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-11,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-12,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-13,4,0.00,0.00,4,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-14,2,120.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-15,3,180.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-16,1,60.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-17,26,"1,440.00",55.38,4,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-18,3,180.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-19,5,300.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-20,1,60.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-21,3,180.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-22,1,60.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-23,5,240.00,48.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-24,10,360.00,36.00,4,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-25,4,120.00,30.00,2,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-26,14,720.00,51.43,2,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-27,5,300.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-28,29,"1,620.00",55.86,2,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-29,8,480.00,60.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-30,14,780.00,55.71,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-01-31,22,"1,020.00",46.36,5,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-01,7,60.00,8.57,6,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-02,1,60.00,60.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-06,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-10,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-11,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-14,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-15,1,66.00,66.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-19,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-20,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-02-27,2,99.00,49.50,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-01,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-02,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-04,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-05,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-08,1,60.00,60.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-11,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-12,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-14,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-17,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-18,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-21,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-23,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-25,2,75.00,37.50,2,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-26,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-27,1,0.00,0.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-28,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-30,3,99.00,33.00,2,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-03-31,2,99.00,49.50,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-02,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-03,7,198.00,28.29,5,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-04,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-05,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-06,2,198.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-08,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-10,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-15,2,99.00,49.50,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-18,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-19,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-22,1,79.00,79.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-23,1,75.00,75.00,1,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-24,3,0.00,0.00,3,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
Annual Membership,2019-04-25,1,99.00,99.00,0,819,"46,776.21",57.11,468,126473,"537,147.89",4.25,"2,364"
