User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
128313,77002,Annual Membership,157 CRACKED FRAME,12/31/12,4:56 PM,City Hall,1,,12/31/12,5:05 PM,Market Square,6,1.40,1.33,56,9,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,402 G CRACKED FRAME,12/31/12,8:41 AM,Market Square,6,,12/31/12,8:47 AM,City Hall,4,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
190983,,24 Hour Kiosk,314 G CRACKED FRAME,12/30/12,5:23 PM,City Hall,2,,12/30/12,6:01 PM,City Hall,2,5.70,5.42,228,38,BCycle 1.0,$0.00 ,,
190979,77004,24 Hour Pass,157 CRACKED FRAME,12/30/12,5:21 PM,City Hall,1,,12/30/12,6:01 PM,City Hall,1,6.00,5.70,240,40,BCycle 1.0,$0.00 ,,
190970,,24 Hour Kiosk,245 CRACKED FRAME,12/30/12,3:49 PM,Lamar & Crawford,3,,12/30/12,5:05 PM,Lamar & Crawford,3,11.40,10.83,456,76,BCycle 1.0,$0.00 ,,
190969,,24 Hour Kiosk,444 G,12/30/12,3:48 PM,Lamar & Crawford,2,,12/30/12,5:04 PM,Lamar & Crawford,1,11.40,10.83,456,76,BCycle 1.0,$0.00 ,,
190968,,24 Hour Kiosk,024 G,12/30/12,3:47 PM,Lamar & Crawford,1,,12/30/12,5:05 PM,Lamar & Crawford,2,11.70,11.12,468,78,BCycle 1.0,$0.00 ,,
190582,,24 Hour Kiosk,500 G CRACKED FRAME,12/28/12,6:46 PM,Market Square,6,,12/28/12,9:50 PM,Market Square,2,18.00,17.10,720,184,BCycle 1.0,$8.00 ,,
190579,,24 Hour Kiosk,402 G CRACKED FRAME,12/28/12,6:11 PM,Market Square,2,,12/28/12,10:17 PM,Market Square,6,18.00,17.10,720,246,BCycle 1.0,$12.00 ,,
171893,,24 Hour Kiosk,025 G,12/28/12,12:44 PM,City Hall,6,,12/28/12,1:51 PM,City Hall,5,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
190376,,24 Hour Kiosk,402 G CRACKED FRAME,12/27/12,10:21 AM,Market Square,2,,12/27/12,11:41 AM,Market Square,2,12.00,11.40,480,80,BCycle 1.0,$0.00 ,,
188844,,24 Hour Kiosk,022 G PRIDE RETIRED,12/27/12,10:20 AM,Market Square,9,,12/27/12,11:41 AM,Market Square,9,12.20,11.59,488,81,BCycle 1.0,$0.00 ,,
188844,,24 Hour Kiosk,500 G CRACKED FRAME,12/27/12,10:19 AM,Market Square,6,,12/27/12,11:41 AM,Market Square,6,12.30,11.69,492,82,BCycle 1.0,$0.00 ,,
188844,,24 Hour Kiosk,222,12/27/12,10:19 AM,Market Square,10,,12/27/12,11:41 AM,Market Square,10,12.30,11.69,492,82,BCycle 1.0,$0.00 ,,
188844,,24 Hour Kiosk,277 G,12/27/12,10:18 AM,Market Square,8,,12/27/12,11:41 AM,Market Square,8,12.40,11.78,496,83,BCycle 1.0,$0.00 ,,
123334,77088,Annual Membership,314 G CRACKED FRAME,12/26/12,4:07 PM,Lamar & Crawford,6,,12/26/12,4:17 PM,City Hall,2,1.50,1.43,60,10,BCycle 1.0,$0.00 ,,
123335,77042,Annual Membership,440 G,12/26/12,4:07 PM,Lamar & Crawford,4,,12/26/12,4:17 PM,City Hall,3,1.50,1.43,60,10,BCycle 1.0,$0.00 ,,
123334,77088,Annual Membership,440 G,12/26/12,3:26 PM,City Hall,3,,12/26/12,4:06 PM,Lamar & Crawford,4,6.00,5.70,240,40,BCycle 1.0,$0.00 ,,
123335,77042,Annual Membership,314 G CRACKED FRAME,12/26/12,3:26 PM,City Hall,2,,12/26/12,4:06 PM,Lamar & Crawford,6,6.00,5.70,240,40,BCycle 1.0,$0.00 ,,
163895,,24 Hour Kiosk,025 G,12/24/12,2:51 PM,City Hall,6,,12/24/12,4:09 PM,City Hall,6,11.70,11.12,468,78,BCycle 1.0,$0.00 ,,
190169,,24 Hour Kiosk,314 G CRACKED FRAME,12/24/12,2:50 PM,City Hall,8,,12/24/12,4:09 PM,City Hall,2,11.80,11.21,472,79,BCycle 1.0,$0.00 ,,
190169,,24 Hour Kiosk,440 G,12/24/12,2:49 PM,City Hall,3,,12/24/12,4:10 PM,City Hall,3,12.20,11.59,488,81,BCycle 1.0,$0.00 ,,
190169,,24 Hour Kiosk,160 G CRACKED FRAME,12/24/12,2:49 PM,City Hall,2,,12/24/12,4:09 PM,City Hall,8,12.00,11.40,480,80,BCycle 1.0,$0.00 ,,
163892,,24 Hour Kiosk,157 CRACKED FRAME,12/24/12,2:48 PM,City Hall,1,,12/24/12,4:08 PM,City Hall,1,12.00,11.40,480,80,BCycle 1.0,$0.00 ,,
189719,,24 Hour Kiosk,222,12/23/12,2:30 PM,Market Square,10,,12/23/12,5:02 PM,Market Square,10,18.00,17.10,720,152,BCycle 1.0,,55,$0.00 
189719,,24 Hour Kiosk,196 G CRACKED FRAME,12/23/12,2:29 PM,Market Square,1,,12/23/12,5:02 PM,Market Square,1,18.00,17.10,720,153,BCycle 1.0,,55,$0.00 
190035,,24 Hour Kiosk,402 G CRACKED FRAME,12/23/12,12:33 PM,Market Square,4,,12/23/12,2:14 PM,Market Square,2,15.20,14.44,608,101,BCycle 1.0,$2.00 ,,
190034,,24 Hour Kiosk,533 CRACKED FRAME,12/23/12,12:32 PM,Market Square,2,,12/23/12,2:14 PM,Market Square,4,15.30,14.54,612,102,BCycle 1.0,$2.00 ,,
155484,,24 Hour Kiosk,314 G CRACKED FRAME,12/23/12,11:40 AM,City Hall,8,,12/23/12,12:48 PM,City Hall,8,10.20,9.69,408,68,BCycle 1.0,$0.00 ,,
155484,,24 Hour Kiosk,157 CRACKED FRAME,12/23/12,11:40 AM,City Hall,4,,12/23/12,12:48 PM,City Hall,1,10.20,9.69,408,68,BCycle 1.0,$0.00 ,,
155484,,24 Hour Kiosk,160 G CRACKED FRAME,12/23/12,11:39 AM,City Hall,1,,12/23/12,12:48 PM,City Hall,2,10.40,9.88,416,69,BCycle 1.0,$0.00 ,,
155484,,24 Hour Kiosk,160 G CRACKED FRAME,12/23/12,10:43 AM,City Hall,7,,12/23/12,11:37 AM,City Hall,1,8.10,7.70,324,54,BCycle 1.0,$0.00 ,,
155484,,24 Hour Kiosk,314 G CRACKED FRAME,12/23/12,10:42 AM,City Hall,8,,12/23/12,11:37 AM,City Hall,8,8.20,7.79,328,55,BCycle 1.0,$0.00 ,,
155484,,24 Hour Kiosk,157 CRACKED FRAME,12/23/12,10:42 AM,City Hall,1,,12/23/12,11:37 AM,City Hall,4,8.20,7.79,328,55,BCycle 1.0,$0.00 ,,
189964,,24 Hour Kiosk,277 G,12/22/12,2:49 PM,Market Square,2,,12/24/12,2:49 PM,Market Square,8,18.00,17.10,720,2880,BCycle 1.0,$0.00 ,,
189944,,24 Hour Kiosk,533 CRACKED FRAME,12/22/12,1:52 PM,Market Square,3,,12/22/12,4:13 PM,Market Square,2,18.00,17.10,720,141,BCycle 1.0,$4.00 ,,
123675,77010,Annual Membership,245 CRACKED FRAME,12/20/12,3:52 PM,Lamar & Crawford,3,,12/20/12,3:58 PM,Lamar & Crawford,3,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,500 G CRACKED FRAME,12/19/12,7:24 PM,City Hall,3,,12/19/12,7:30 PM,Market Square,6,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
189720,,24 Hour Kiosk,533 CRACKED FRAME,12/19/12,2:29 PM,Market Square,3,,12/19/12,4:09 PM,Market Square,3,15.00,14.25,600,100,BCycle 1.0,$2.00 ,,
189719,,24 Hour Kiosk,277 G,12/19/12,2:28 PM,Market Square,6,,12/19/12,4:09 PM,Market Square,2,15.20,14.44,608,101,BCycle 1.0,$2.00 ,,
123402,77003,Annual Membership,022 G PRIDE RETIRED,12/19/12,1:33 PM,Market Square,5,,12/19/12,1:34 PM,Market Square,9,0.20,0.19,8,1,BCycle 1.0,$0.00 ,,
189673,,24 Hour Kiosk,157 CRACKED FRAME,12/19/12,11:01 AM,Market Square,2,,12/19/12,11:36 AM,City Hall,1,5.20,4.94,208,35,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,500 G CRACKED FRAME,12/19/12,8:23 AM,Market Square,8,,12/19/12,8:29 AM,City Hall,3,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,222,12/18/12,9:40 PM,City Hall,4,,12/18/12,9:46 PM,Market Square,10,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
187777,,24 Hour Kiosk,250 R,12/18/12,7:35 PM,City Hall,1,,12/19/12,3:58 PM,Lamar & Crawford,4,18.00,17.10,720,1223,BCycle 1.0,,151,$6.00 
123334,77088,Annual Membership,440 G,12/18/12,4:24 PM,City Hall,3,,12/18/12,5:23 PM,City Hall,2,8.80,8.36,352,59,BCycle 1.0,$0.00 ,,
123335,77042,Annual Membership,222,12/18/12,4:24 PM,City Hall,2,,12/18/12,5:23 PM,City Hall,4,8.80,8.36,352,59,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,440 G,12/18/12,8:21 AM,Market Square,4,,12/18/12,8:28 AM,City Hall,3,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,500 G CRACKED FRAME,12/17/12,8:58 PM,City Hall,3,,12/17/12,9:04 PM,Market Square,8,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
189547,,24 Hour Kiosk,157 CRACKED FRAME,12/17/12,5:59 PM,Market Square,1,,12/17/12,7:10 PM,Market Square,2,10.60,10.07,424,71,BCycle 1.0,$0.00 ,,
189547,,24 Hour Kiosk,533 CRACKED FRAME,12/17/12,5:58 PM,Market Square,3,,12/17/12,7:10 PM,Market Square,3,10.80,10.26,432,72,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,277 G,12/17/12,5:58 PM,Market Square,8,,12/17/12,7:10 PM,Market Square,6,10.80,10.26,432,72,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,440 G,12/17/12,5:57 PM,Market Square,2,,12/17/12,7:10 PM,Market Square,4,11.00,10.45,440,73,BCycle 1.0,$0.00 ,,
189530,,24 Hour Kiosk,146 R CRACKED FRAME,12/17/12,3:35 PM,Lamar & Crawford,4,,12/19/12,7:41 PM,Lamar & Crawford,5,18.00,17.10,720,3126,BCycle 1.0,$142.00 ,,
128313,77002,Annual Membership,500 G CRACKED FRAME,12/17/12,8:14 AM,Market Square,4,,12/17/12,8:20 AM,City Hall,3,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
189333,,24 Hour Kiosk,160 G CRACKED FRAME,12/15/12,8:03 PM,City Hall,7,,12/15/12,8:53 PM,City Hall,7,7.50,7.13,300,50,BCycle 1.0,$0.00 ,,
189333,,24 Hour Kiosk,025 G,12/15/12,8:03 PM,City Hall,6,,12/15/12,8:53 PM,City Hall,6,7.50,7.13,300,50,BCycle 1.0,$0.00 ,,
189332,,24 Hour Kiosk,250 R,12/15/12,8:02 PM,City Hall,1,,12/15/12,8:53 PM,City Hall,1,7.60,7.22,304,51,BCycle 1.0,$0.00 ,,
189332,,24 Hour Kiosk,222,12/15/12,8:01 PM,City Hall,2,,12/15/12,8:53 PM,City Hall,2,7.80,7.41,312,52,BCycle 1.0,$0.00 ,,
189203,,24 Hour Kiosk,500 G CRACKED FRAME,12/15/12,8:53 AM,Market Square,4,,12/15/12,9:51 AM,Market Square,4,8.70,8.27,348,58,BCycle 1.0,$0.00 ,,
189203,,24 Hour Kiosk,440 G,12/15/12,8:53 AM,Market Square,2,,12/15/12,9:50 AM,Market Square,2,8.60,8.17,344,57,BCycle 1.0,$0.00 ,,
123335,77042,Annual Membership,196 G CRACKED FRAME,12/14/12,9:26 PM,City Hall,4,,12/14/12,9:36 PM,Lamar & Crawford,6,1.50,1.43,60,10,BCycle 1.0,$0.00 ,,
123334,77088,Annual Membership,245 CRACKED FRAME,12/14/12,9:26 PM,City Hall,5,,12/14/12,9:36 PM,Lamar & Crawford,3,1.50,1.43,60,10,BCycle 1.0,$0.00 ,,
123335,77042,Annual Membership,245 CRACKED FRAME,12/14/12,9:26 PM,City Hall,5,,12/14/12,9:26 PM,City Hall,5,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
189203,,24 Hour Kiosk,500 G CRACKED FRAME,12/14/12,3:05 PM,Market Square,4,,12/14/12,4:11 PM,Market Square,4,9.90,9.41,396,66,BCycle 1.0,$0.00 ,,
189203,,24 Hour Kiosk,440 G,12/14/12,3:04 PM,Market Square,2,,12/14/12,4:11 PM,Market Square,2,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,025 G,12/13/12,6:07 PM,City Hall,7,,12/13/12,6:14 PM,Market Square,10,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,245 CRACKED FRAME,12/13/12,8:23 AM,Market Square,10,,12/13/12,8:30 AM,City Hall,5,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,245 CRACKED FRAME,12/12/12,6:58 PM,City Hall,5,,12/12/12,7:03 PM,Market Square,10,0.80,0.76,32,5,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,245 CRACKED FRAME,12/12/12,8:27 AM,Market Square,6,,12/12/12,8:33 AM,City Hall,5,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
128313,77002,Annual Membership,250 R,12/11/12,5:35 PM,City Hall,8,,12/11/12,5:41 PM,Market Square,10,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
188847,,24 Hour Kiosk,024 G,12/11/12,9:42 AM,City Hall,1,,12/11/12,11:04 AM,Market Square,9,12.30,11.69,492,82,BCycle 1.0,$0.00 ,,
188846,,24 Hour Kiosk,402 G CRACKED FRAME,12/11/12,9:40 AM,City Hall,3,,12/11/12,11:03 AM,Market Square,7,12.40,11.78,496,83,BCycle 1.0,$0.00 ,,
188845,,24 Hour Kiosk,157 CRACKED FRAME,12/11/12,9:29 AM,Market Square,8,,12/11/12,11:03 AM,Market Square,1,14.10,13.40,564,94,BCycle 1.0,,89,$0.00 
188844,,24 Hour Kiosk,277 G,12/11/12,9:25 AM,Market Square,1,,12/11/12,11:02 AM,Market Square,8,14.60,13.87,584,97,BCycle 1.0,,89,$0.00 
